measure_date,best_before,taste,buyer,silver
2019-12-13,2020-05-01,0,A,0
2019-12-13,2020-06-01,0,A,0
2019-12-17,2020-06-01,0,A,0
2019-12-17,2020-06-01,0,A,0
2019-12-17,2020-06-01,0,A,0
2019-12-19,2020-06-01,0,A,0
2019-12-19,2020-06-01,0,A,0
2019-12-19,2020-06-01,0,A,0
2019-12-23,2020-06-01,0,A,0
2019-12-23,2020-06-01,0,A,0
2019-12-24,2020-09-01,16,A,0
2019-12-24,2020-09-01,16,A,1
2019-12-29,2020-06-01,0,A,0
2019-12-29,2020-06-01,0,A,0
